,Unnamed: 0,Club,League,Value Aug 1 of Year,Season,cleaned_new_club,longest_word_team
634,6,Seattle Sounders FC,MLS,48150000.0,2022/ 2023,seattle sounders,s sounders s
635,7,Orlando City SC,MLS,38830000.0,2022/ 2023,orlando city,o orlando c
636,8,Philadelphia Union,MLS,31400000.0,2022/ 2023,philadelphia union,p philadelphia u
637,9,FC Dallas,MLS,39900000.0,2022/ 2023,dallas,d dallas d
638,10,Columbus Crew,MLS,39580000.0,2022/ 2023,columbus crew,c columbus c
639,11,FC Cincinnati,MLS,28550000.0,2022/ 2023,cincinnati,c cincinnati c
640,12,Portland Timbers,MLS,33549999.999999996,2022/ 2023,portland timbers,p portland t
641,13,Chicago Fire FC,MLS,37150000.0,2022/ 2023,chicago fire,c chicago f
642,14,Real Salt Lake City,MLS,26000000.0,2022/ 2023,real salt lake city,r real c
643,15,Nashville SC,MLS,30750000.0,2022/ 2023,nashville,n nashville n
645,17,New England Revolution,MLS,36030000.0,2022/ 2023,new england revolution,n revolution r
646,18,New York Red Bulls,MLS,31850000.0,2022/ 2023,new york red bulls,n bulls b
647,19,Vancouver Whitecaps FC,MLS,44200000.0,2022/ 2023,vancouver whitecaps,v vancouver w
648,20,Charlotte FC,MLS,29400000.0,2022/ 2023,charlotte,c charlotte c
649,21,Houston Dynamo FC,MLS,26940000.0,2022/ 2023,houston dynamo,h houston d
650,22,CF Montréal,MLS,32630000.000000004,2022/ 2023,montreal,m montreal m
651,23,San Jose Earthquakes,MLS,30730000.0,2022/ 2023,san jose earthquakes,s earthquakes e
652,24,Austin FC,MLS,32200000.000000004,2022/ 2023,austin,a austin a
653,25,Minnesota United FC,MLS,33299999.999999996,2022/ 2023,minnesota united,m minnesota u
654,26,Toronto FC,MLS,64379999.99999999,2022/ 2023,toronto,t toronto t
655,27,Colorado Rapids,MLS,24430000.0,2022/ 2023,colorado rapids,c colorado r
656,28,Sporting Kansas City,MLS,36380000.0,2022/ 2023,sporting kansas city,s sporting c
657,29,D.C. United,MLS,24250000.0,2022/ 2023,united,u united u
658,1,Inter Miami CF,MLS,45650000.0,2021/ 2022,inter miami,i inter m
659,2,Los Angeles Galaxy,MLS,28680000.0,2021/ 2022,los angeles galaxy,l angeles g
660,3,Atlanta United FC,MLS,58380000.0,2021/ 2022,atlanta united,a atlanta u
661,4,New York City FC,MLS,48000000.0,2021/ 2022,new york city,n york c
662,5,Los Angeles FC,MLS,60450000.0,2021/ 2022,los angeles,l angeles a
663,6,Seattle Sounders FC,MLS,38800000.0,2021/ 2022,seattle sounders,s sounders s
664,7,Orlando City SC,MLS,41900000.0,2021/ 2022,orlando city,o orlando c
665,8,Philadelphia Union,MLS,26580000.0,2021/ 2022,philadelphia union,p philadelphia u
666,9,FC Dallas,MLS,30130000.0,2021/ 2022,dallas,d dallas d
667,10,Columbus Crew,MLS,38700000.0,2021/ 2022,columbus crew,c columbus c
668,11,FC Cincinnati,MLS,29530000.0,2021/ 2022,cincinnati,c cincinnati c
669,12,Portland Timbers,MLS,34800000.0,2021/ 2022,portland timbers,p portland t
670,13,Chicago Fire FC,MLS,24400000.0,2021/ 2022,chicago fire,c chicago f
671,14,Real Salt Lake City,MLS,21150000.0,2021/ 2022,real salt lake city,r real c
672,15,Nashville SC,MLS,35280000.0,2021/ 2022,nashville,n nashville n
674,17,New England Revolution,MLS,35230000.0,2021/ 2022,new england revolution,n revolution r
675,18,New York Red Bulls,MLS,30530000.0,2021/ 2022,new york red bulls,n bulls b
676,19,Vancouver Whitecaps FC,MLS,31630000.0,2021/ 2022,vancouver whitecaps,v vancouver w
677,20,Charlotte FC,MLS,,2021/ 2022,charlotte,c charlotte c
678,21,Houston Dynamo FC,MLS,20330000.0,2021/ 2022,houston dynamo,h houston d
679,22,CF Montréal,MLS,25150000.0,2021/ 2022,montreal,m montreal m
680,23,San Jose Earthquakes,MLS,24400000.0,2021/ 2022,san jose earthquakes,s earthquakes e
681,24,Austin FC,MLS,33500000.0,2021/ 2022,austin,a austin a
682,25,Minnesota United FC,MLS,46130000.0,2021/ 2022,minnesota united,m minnesota u
683,26,Toronto FC,MLS,46230000.0,2021/ 2022,toronto,t toronto t
684,27,Colorado Rapids,MLS,39580000.0,2021/ 2022,colorado rapids,c colorado r
685,28,Sporting Kansas City,MLS,35800000.0,2021/ 2022,sporting kansas city,s sporting c
686,29,D.C. United,MLS,27850000.0,2021/ 2022,united,u united u
687,1,Inter Miami CF,MLS,37650000.0,2020/ 2021,inter miami,i inter m
688,2,Los Angeles Galaxy,MLS,27980000.0,2020/ 2021,los angeles galaxy,l angeles g
689,3,Atlanta United FC,MLS,52250000.0,2020/ 2021,atlanta united,a atlanta u
690,4,New York City FC,MLS,27630000.0,2020/ 2021,new york city,n york c
691,5,Los Angeles FC,MLS,50150000.0,2020/ 2021,los angeles,l angeles a
692,6,Seattle Sounders FC,MLS,26630000.0,2020/ 2021,seattle sounders,s sounders s
693,7,Orlando City SC,MLS,19730000.0,2020/ 2021,orlando city,o orlando c
694,8,Philadelphia Union,MLS,14630000.0,2020/ 2021,philadelphia union,p philadelphia u
695,9,FC Dallas,MLS,21400000.0,2020/ 2021,dallas,d dallas d
696,10,Columbus Crew,MLS,23880000.0,2020/ 2021,columbus crew,c columbus c
697,11,FC Cincinnati,MLS,21400000.0,2020/ 2021,cincinnati,c cincinnati c
698,12,Portland Timbers,MLS,23300000.0,2020/ 2021,portland timbers,p portland t
699,13,Chicago Fire FC,MLS,21130000.0,2020/ 2021,chicago fire,c chicago f
700,14,Real Salt Lake City,MLS,13980000.0,2020/ 2021,real salt lake city,r real c
701,15,Nashville SC,MLS,13630000.0,2020/ 2021,nashville,n nashville n
703,17,New England Revolution,MLS,19150000.0,2020/ 2021,new england revolution,n revolution r
704,18,New York Red Bulls,MLS,18980000.0,2020/ 2021,new york red bulls,n bulls b
705,19,Vancouver Whitecaps FC,MLS,17500000.0,2020/ 2021,vancouver whitecaps,v vancouver w
707,21,Houston Dynamo FC,MLS,18400000.0,2020/ 2021,houston dynamo,h houston d
708,22,CF Montréal,MLS,20150000.0,2020/ 2021,montreal,m montreal m
709,23,San Jose Earthquakes,MLS,14700000.0,2020/ 2021,san jose earthquakes,s earthquakes e
711,25,Minnesota United FC,MLS,16450000.0,2020/ 2021,minnesota united,m minnesota u
712,26,Toronto FC,MLS,27830000.0,2020/ 2021,toronto,t toronto t
713,27,Colorado Rapids,MLS,17780000.0,2020/ 2021,colorado rapids,c colorado r
714,28,Sporting Kansas City,MLS,23930000.0,2020/ 2021,sporting kansas city,s sporting c
715,29,D.C. United,MLS,20900000.0,2020/ 2021,united,u united u
717,2,Los Angeles Galaxy,MLS,23150000.0,2019/ 2020,los angeles galaxy,l angeles g
718,3,Atlanta United FC,MLS,55730000.0,2019/ 2020,atlanta united,a atlanta u
719,4,New York City FC,MLS,30680000.0,2019/ 2020,new york city,n york c
720,5,Los Angeles FC,MLS,37680000.0,2019/ 2020,los angeles,l angeles a
721,6,Seattle Sounders FC,MLS,28150000.0,2019/ 2020,seattle sounders,s sounders s
722,7,Orlando City SC,MLS,24550000.0,2019/ 2020,orlando city,o orlando c
723,8,Philadelphia Union,MLS,19900000.0,2019/ 2020,philadelphia union,p philadelphia u
724,9,FC Dallas,MLS,17850000.0,2019/ 2020,dallas,d dallas d
725,10,Columbus Crew,MLS,25530000.0,2019/ 2020,columbus crew,c columbus c
726,11,FC Cincinnati,MLS,16030000.000000002,2019/ 2020,cincinnati,c cincinnati c
727,12,Portland Timbers,MLS,26300000.0,2019/ 2020,portland timbers,p portland t
728,13,Chicago Fire FC,MLS,25800000.0,2019/ 2020,chicago fire,c chicago f
729,14,Real Salt Lake City,MLS,16480000.0,2019/ 2020,real salt lake city,r real c
732,17,New England Revolution,MLS,20250000.0,2019/ 2020,new england revolution,n revolution r
733,18,New York Red Bulls,MLS,24900000.0,2019/ 2020,new york red bulls,n bulls b
734,19,Vancouver Whitecaps FC,MLS,16379999.999999998,2019/ 2020,vancouver whitecaps,v vancouver w
736,21,Houston Dynamo FC,MLS,19220000.0,2019/ 2020,houston dynamo,h houston d
737,22,CF Montréal,MLS,16100000.000000002,2019/ 2020,montreal,m montreal m
738,23,San Jose Earthquakes,MLS,17080000.0,2019/ 2020,san jose earthquakes,s earthquakes e
740,25,Minnesota United FC,MLS,18680000.0,2019/ 2020,minnesota united,m minnesota u
741,26,Toronto FC,MLS,33780000.0,2019/ 2020,toronto,t toronto t
742,27,Colorado Rapids,MLS,14800000.0,2019/ 2020,colorado rapids,c colorado r
743,28,Sporting Kansas City,MLS,21430000.0,2019/ 2020,sporting kansas city,s sporting c
744,29,D.C. United,MLS,30300000.0,2019/ 2020,united,u united u
745,1,Sociedade Esportiva Palmeiras,Brasil Serie A,162000000.0,2023/ 2024,sociedade esportiva palmeiras,s sociedade p
746,2,CR Flamengo,Brasil Serie A,171100000.0,2023/ 2024,flamengo,f flamengo f
747,3,Fluminense Football Club,Brasil Serie A,77650000.0,2023/ 2024,fluminense football club,f fluminense c
748,4,Sport Club Corinthians Paulista,Brasil Serie A,107200000.0,2023/ 2024,sport club corinthians paulista,s corinthians p
749,5,Sport Club Internacional,Brasil Serie A,68450000.0,2023/ 2024,sport club internacional,s internacional i
750,6,São Paulo Futebol Clube,Brasil Serie A,94450000.0,2023/ 2024,sao paulo futebol clube,s futebol c
751,7,Clube Atlético Mineiro,Brasil Serie A,83550000.0,2023/ 2024,clube atletico mineiro,c atletico m
752,8,Grêmio Foot-Ball Porto Alegrense,Brasil Serie A,57750000.0,2023/ 2024,gremio football porto alegrense,g alegrense a
753,9,Cruzeiro Esporte Clube,Brasil Serie A,54550000.0,2023/ 2024,cruzeiro esporte clube,c cruzeiro c
754,10,Botafogo de Futebol e Regatas,Brasil Serie A,70150000.0,2023/ 2024,botafogo de futebol e regatas,b botafogo r
755,11,Red Bull Bragantino,Brasil Serie A,76300000.0,2023/ 2024,red bull bragantino,r bragantino b
756,12,Club Athletico Paranaense,Brasil Serie A,103400000.0,2023/ 2024,club athletico paranaense,c paranaense p
757,13,Esporte Clube Bahia,Brasil Serie A,60350000.0,2023/ 2024,esporte clube bahia,e esporte b
758,14,Clube de Regatas Vasco da Gama,Brasil Serie A,66849999.99999999,2023/ 2024,clube de regatas vasco da gama,c regatas g
759,15,Fortaleza Esporte Clube,Brasil Serie A,42350000.0,2023/ 2024,fortaleza esporte clube,f fortaleza c
760,16,Cuiabá Esporte Clube (MT),Brasil Serie A,20230000.0,2023/ 2024,cuiaba esporte clube,c esporte c
761,1,Sociedade Esportiva Palmeiras,Brasil Serie A,156350000.0,2022/ 2023,sociedade esportiva palmeiras,s sociedade p
762,2,CR Flamengo,Brasil Serie A,166200000.0,2022/ 2023,flamengo,f flamengo f
763,3,Fluminense Football Club,Brasil Serie A,58000000.0,2022/ 2023,fluminense football club,f fluminense c
764,4,Sport Club Corinthians Paulista,Brasil Serie A,113950000.0,2022/ 2023,sport club corinthians paulista,s corinthians p
765,5,Sport Club Internacional,Brasil Serie A,74450000.0,2022/ 2023,sport club internacional,s internacional i
766,6,São Paulo Futebol Clube,Brasil Serie A,78900000.0,2022/ 2023,sao paulo futebol clube,s futebol c
767,7,Clube Atlético Mineiro,Brasil Serie A,128050000.00000001,2022/ 2023,clube atletico mineiro,c atletico m
768,10,Botafogo de Futebol e Regatas,Brasil Serie A,66330000.0,2022/ 2023,botafogo de futebol e regatas,b botafogo r
769,11,Red Bull Bragantino,Brasil Serie A,97280000.0,2022/ 2023,red bull bragantino,r bragantino b
770,12,Club Athletico Paranaense,Brasil Serie A,57050000.0,2022/ 2023,club athletico paranaense,c paranaense p
771,15,Fortaleza Esporte Clube,Brasil Serie A,28750000.0,2022/ 2023,fortaleza esporte clube,f fortaleza c
772,16,Cuiabá Esporte Clube (MT),Brasil Serie A,21900000.0,2022/ 2023,cuiaba esporte clube,c esporte c
773,17,Atlético Clube Goianiense,Brasil Serie A,18750000.0,2022/ 2023,atletico clube goianiense,a goianiense g
774,19,Esporte Clube Juventude,Brasil Serie A,18530000.0,2022/ 2023,esporte clube juventude,e juventude j
775,1,Sociedade Esportiva Palmeiras,Brasil Serie A,156800000.0,2021/ 2022,sociedade esportiva palmeiras,s sociedade p
776,2,CR Flamengo,Brasil Serie A,132000000.0,2021/ 2022,flamengo,f flamengo f
777,3,Fluminense Football Club,Brasil Serie A,63000000.0,2021/ 2022,fluminense football club,f fluminense c
778,4,Sport Club Corinthians Paulista,Brasil Serie A,53900000.0,2021/ 2022,sport club corinthians paulista,s corinthians p
779,5,Sport Club Internacional,Brasil Serie A,60000000.0,2021/ 2022,sport club internacional,s internacional i
780,6,São Paulo Futebol Clube,Brasil Serie A,77100000.0,2021/ 2022,sao paulo futebol clube,s futebol c
781,7,Clube Atlético Mineiro,Brasil Serie A,84850000.0,2021/ 2022,clube atletico mineiro,c atletico m
782,8,Grêmio Foot-Ball Porto Alegrense,Brasil Serie A,82350000.0,2021/ 2022,gremio football porto alegrense,g alegrense a
783,11,Red Bull Bragantino,Brasil Serie A,63180000.0,2021/ 2022,red bull bragantino,r bragantino b
784,12,Club Athletico Paranaense,Brasil Serie A,51300000.0,2021/ 2022,club athletico paranaense,c paranaense p
785,13,Esporte Clube Bahia,Brasil Serie A,19130000.0,2021/ 2022,esporte clube bahia,e esporte b
786,14,Clube de Regatas Vasco da Gama,Brasil Serie A,25250000.0,2021/ 2022,clube de regatas vasco da gama,c regatas g
787,15,Fortaleza Esporte Clube,Brasil Serie A,20680000.0,2021/ 2022,fortaleza esporte clube,f fortaleza c
788,16,Cuiabá Esporte Clube (MT),Brasil Serie A,17500000.0,2021/ 2022,cuiaba esporte clube,c esporte c
789,17,Atlético Clube Goianiense,Brasil Serie A,17900000.0,2021/ 2022,atletico clube goianiense,a goianiense g
790,19,Esporte Clube Juventude,Brasil Serie A,15000000.0,2021/ 2022,esporte clube juventude,e juventude j
791,1,Sociedade Esportiva Palmeiras,Brasil Serie A,107750000.0,2020/ 2021,sociedade esportiva palmeiras,s sociedade p
792,2,CR Flamengo,Brasil Serie A,120180000.0,2020/ 2021,flamengo,f flamengo f
793,3,Fluminense Football Club,Brasil Serie A,38550000.0,2020/ 2021,fluminense football club,f fluminense c
794,4,Sport Club Corinthians Paulista,Brasil Serie A,60480000.0,2020/ 2021,sport club corinthians paulista,s corinthians p
795,5,Sport Club Internacional,Brasil Serie A,51130000.0,2020/ 2021,sport club internacional,s internacional i
796,6,São Paulo Futebol Clube,Brasil Serie A,55850000.0,2020/ 2021,sao paulo futebol clube,s futebol c
797,7,Clube Atlético Mineiro,Brasil Serie A,50980000.0,2020/ 2021,clube atletico mineiro,c atletico m
798,8,Grêmio Foot-Ball Porto Alegrense,Brasil Serie A,97130000.0,2020/ 2021,gremio football porto alegrense,g alegrense a
799,10,Botafogo de Futebol e Regatas,Brasil Serie A,22350000.0,2020/ 2021,botafogo de futebol e regatas,b botafogo r
800,11,Red Bull Bragantino,Brasil Serie A,22030000.0,2020/ 2021,red bull bragantino,r bragantino b
801,12,Club Athletico Paranaense,Brasil Serie A,33130000.000000004,2020/ 2021,club athletico paranaense,c paranaense p
802,13,Esporte Clube Bahia,Brasil Serie A,24600000.0,2020/ 2021,esporte clube bahia,e esporte b
803,14,Clube de Regatas Vasco da Gama,Brasil Serie A,32430000.0,2020/ 2021,clube de regatas vasco da gama,c regatas g
804,15,Fortaleza Esporte Clube,Brasil Serie A,14330000.0,2020/ 2021,fortaleza esporte clube,f fortaleza c
805,17,Atlético Clube Goianiense,Brasil Serie A,11280000.0,2020/ 2021,atletico clube goianiense,a goianiense g
806,1,Sociedade Esportiva Palmeiras,Brasil Serie A,115900000.0,2019/ 2020,sociedade esportiva palmeiras,s sociedade p
807,2,CR Flamengo,Brasil Serie A,115000000.0,2019/ 2020,flamengo,f flamengo f
808,3,Fluminense Football Club,Brasil Serie A,64200000.0,2019/ 2020,fluminense football club,f fluminense c
809,4,Sport Club Corinthians Paulista,Brasil Serie A,76000000.0,2019/ 2020,sport club corinthians paulista,s corinthians p
810,5,Sport Club Internacional,Brasil Serie A,62000000.0,2019/ 2020,sport club internacional,s internacional i
811,6,São Paulo Futebol Clube,Brasil Serie A,82500000.0,2019/ 2020,sao paulo futebol clube,s futebol c
812,7,Clube Atlético Mineiro,Brasil Serie A,48100000.0,2019/ 2020,clube atletico mineiro,c atletico m
813,8,Grêmio Foot-Ball Porto Alegrense,Brasil Serie A,81900000.0,2019/ 2020,gremio football porto alegrense,g alegrense a
814,9,Cruzeiro Esporte Clube,Brasil Serie A,46030000.0,2019/ 2020,cruzeiro esporte clube,c cruzeiro c
815,10,Botafogo de Futebol e Regatas,Brasil Serie A,32700000.000000004,2019/ 2020,botafogo de futebol e regatas,b botafogo r
816,12,Club Athletico Paranaense,Brasil Serie A,36200000.0,2019/ 2020,club athletico paranaense,c paranaense p
817,13,Esporte Clube Bahia,Brasil Serie A,36050000.0,2019/ 2020,esporte clube bahia,e esporte b
818,14,Clube de Regatas Vasco da Gama,Brasil Serie A,35900000.0,2019/ 2020,clube de regatas vasco da gama,c regatas g
819,15,Fortaleza Esporte Clube,Brasil Serie A,20200000.0,2019/ 2020,fortaleza esporte clube,f fortaleza c
820,1,CA River Plate,Liga Profesional,102850000.0,2023/ 2024,river plate,r river p
821,2,CA Boca Juniors,Liga Profesional,71130000.0,2023/ 2024,boca juniors,b juniors j
822,3,Racing Club,Liga Profesional,40830000.0,2023/ 2024,racing club,r racing c
823,4,CA San Lorenzo de Almagro,Liga Profesional,43700000.0,2023/ 2024,san lorenzo de almagro,s lorenzo a
824,5,CA Talleres,Liga Profesional,54500000.0,2023/ 2024,talleres,t talleres t
825,6,AA Argentinos Juniors,Liga Profesional,32150000.0,2023/ 2024,argentinos juniors,a argentinos j
826,7,CA Vélez Sarsfield,Liga Profesional,42450000.0,2023/ 2024,velez sarsfield,v sarsfield s
827,8,Club Atlético Belgrano,Liga Profesional,14380000.0,2023/ 2024,club atletico belgrano,c atletico b
828,9,CA Rosario Central,Liga Profesional,26550000.0,2023/ 2024,rosario central,r rosario c
829,10,Club Estudiantes de La Plata,Liga Profesional,32000000.0,2023/ 2024,club estudiantes de la plata,c estudiantes p
830,11,CA Newell's Old Boys,Liga Profesional,27250000.0,2023/ 2024,newells old boys,n newells b
831,12,Defensa y Justicia,Liga Profesional,29430000.0,2023/ 2024,defensa y justicia,d justicia j
832,13,CA Huracán,Liga Profesional,32350000.0,2023/ 2024,huracan,h huracan h
833,14,Club Atlético Lanús,Liga Profesional,28980000.0,2023/ 2024,club atletico lanus,c atletico l
834,15,CA Independiente,Liga Profesional,14550000.0,2023/ 2024,independiente,i independiente i
835,16,CA Banfield,Liga Profesional,21530000.0,2023/ 2024,banfield,b banfield b
836,17,CD Godoy Cruz Antonio Tomba,Liga Profesional,19680000.0,2023/ 2024,godoy cruz antonio tomba,g antonio t
837,18,Club Atlético Tucumán,Liga Profesional,21350000.0,2023/ 2024,club atletico tucuman,c atletico t
838,19,CA Unión (Santa Fe),Liga Profesional,11980000.0,2023/ 2024,union santa fe,u union f
839,20,Instituto ACC,Liga Profesional,12580000.0,2023/ 2024,instituto,i instituto i
840,21,Club de Gimnasia y Esgrima La Plata,Liga Profesional,23800000.0,2023/ 2024,club de gimnasia y esgrima la plata,c gimnasia p
841,22,Club Atlético Platense,Liga Profesional,12200000.0,2023/ 2024,club atletico platense,c atletico p
842,23,CA Barracas Central,Liga Profesional,10550000.0,2023/ 2024,barracas central,b barracas c
843,24,Club Atlético Tigre,Liga Profesional,22500000.0,2023/ 2024,club atletico tigre,c atletico t
844,25,CA Sarmiento (Junin),Liga Profesional,8150000.0,2023/ 2024,sarmiento junin,s sarmiento j
846,27,CA Central Córdoba (SdE),Liga Profesional,11280000.0,2023/ 2024,central cordoba sde,c central s
848,1,CA River Plate,Liga Profesional,96050000.0,2022/ 2023,river plate,r river p
849,2,CA Boca Juniors,Liga Profesional,78430000.0,2022/ 2023,boca juniors,b juniors j
850,3,Racing Club,Liga Profesional,56180000.0,2022/ 2023,racing club,r racing c
851,4,CA San Lorenzo de Almagro,Liga Profesional,23880000.0,2022/ 2023,san lorenzo de almagro,s lorenzo a
852,5,CA Talleres,Liga Profesional,43250000.0,2022/ 2023,talleres,t talleres t
853,6,AA Argentinos Juniors,Liga Profesional,18880000.0,2022/ 2023,argentinos juniors,a argentinos j
854,7,CA Vélez Sarsfield,Liga Profesional,49240000.0,2022/ 2023,velez sarsfield,v sarsfield s
856,9,CA Rosario Central,Liga Profesional,19950000.0,2022/ 2023,rosario central,r rosario c
857,10,Club Estudiantes de La Plata,Liga Profesional,30630000.0,2022/ 2023,club estudiantes de la plata,c estudiantes p
858,11,CA Newell's Old Boys,Liga Profesional,19630000.0,2022/ 2023,newells old boys,n newells b
859,12,Defensa y Justicia,Liga Profesional,22230000.0,2022/ 2023,defensa y justicia,d justicia j
860,13,CA Huracán,Liga Profesional,18480000.0,2022/ 2023,huracan,h huracan h
861,14,Club Atlético Lanús,Liga Profesional,30330000.0,2022/ 2023,club atletico lanus,c atletico l
862,15,CA Independiente,Liga Profesional,29030000.0,2022/ 2023,independiente,i independiente i
863,16,CA Banfield,Liga Profesional,18830000.0,2022/ 2023,banfield,b banfield b
864,17,CD Godoy Cruz Antonio Tomba,Liga Profesional,24050000.0,2022/ 2023,godoy cruz antonio tomba,g antonio t
865,18,Club Atlético Tucumán,Liga Profesional,11730000.0,2022/ 2023,club atletico tucuman,c atletico t
866,19,CA Unión (Santa Fe),Liga Profesional,14580000.0,2022/ 2023,union santa fe,u union f
868,21,Club de Gimnasia y Esgrima La Plata,Liga Profesional,13950000.0,2022/ 2023,club de gimnasia y esgrima la plata,c gimnasia p
869,22,Club Atlético Platense,Liga Profesional,10100000.0,2022/ 2023,club atletico platense,c atletico p
870,23,CA Barracas Central,Liga Profesional,5380000.0,2022/ 2023,barracas central,b barracas c
871,24,Club Atlético Tigre,Liga Profesional,19750000.0,2022/ 2023,club atletico tigre,c atletico t
872,25,CA Sarmiento (Junin),Liga Profesional,10130000.0,2022/ 2023,sarmiento junin,s sarmiento j
874,27,CA Central Córdoba (SdE),Liga Profesional,8950000.0,2022/ 2023,central cordoba sde,c central s
876,1,CA River Plate,Liga Profesional,120980000.0,2021/ 2022,river plate,r river p
877,2,CA Boca Juniors,Liga Profesional,87180000.0,2021/ 2022,boca juniors,b juniors j
878,3,Racing Club,Liga Profesional,42550000.0,2021/ 2022,racing club,r racing c
879,4,CA San Lorenzo de Almagro,Liga Profesional,40950000.0,2021/ 2022,san lorenzo de almagro,s lorenzo a
880,5,CA Talleres,Liga Profesional,45200000.0,2021/ 2022,talleres,t talleres t
881,6,AA Argentinos Juniors,Liga Profesional,31700000.0,2021/ 2022,argentinos juniors,a argentinos j
882,7,CA Vélez Sarsfield,Liga Profesional,63680000.0,2021/ 2022,velez sarsfield,v sarsfield s
884,9,CA Rosario Central,Liga Profesional,19750000.0,2021/ 2022,rosario central,r rosario c
885,10,Club Estudiantes de La Plata,Liga Profesional,23830000.0,2021/ 2022,club estudiantes de la plata,c estudiantes p
886,11,CA Newell's Old Boys,Liga Profesional,22380000.0,2021/ 2022,newells old boys,n newells b
887,12,Defensa y Justicia,Liga Profesional,27950000.0,2021/ 2022,defensa y justicia,d justicia j
888,13,CA Huracán,Liga Profesional,16880000.0,2021/ 2022,huracan,h huracan h
889,14,Club Atlético Lanús,Liga Profesional,44750000.0,2021/ 2022,club atletico lanus,c atletico l
890,15,CA Independiente,Liga Profesional,45180000.0,2021/ 2022,independiente,i independiente i
891,16,CA Banfield,Liga Profesional,32080000.0,2021/ 2022,banfield,b banfield b
892,17,CD Godoy Cruz Antonio Tomba,Liga Profesional,15500000.0,2021/ 2022,godoy cruz antonio tomba,g antonio t
893,18,Club Atlético Tucumán,Liga Profesional,14250000.0,2021/ 2022,club atletico tucuman,c atletico t
894,19,CA Unión (Santa Fe),Liga Profesional,12030000.0,2021/ 2022,union santa fe,u union f
896,21,Club de Gimnasia y Esgrima La Plata,Liga Profesional,14700000.0,2021/ 2022,club de gimnasia y esgrima la plata,c gimnasia p
897,22,Club Atlético Platense,Liga Profesional,10380000.0,2021/ 2022,club atletico platense,c atletico p
900,25,CA Sarmiento (Junin),Liga Profesional,8800000.0,2021/ 2022,sarmiento junin,s sarmiento j
902,27,CA Central Córdoba (SdE),Liga Profesional,9830000.0,2021/ 2022,central cordoba sde,c central s
904,1,CA River Plate,Liga Profesional,115650000.0,2020/ 2021,river plate,r river p
905,2,CA Boca Juniors,Liga Profesional,91300000.0,2020/ 2021,boca juniors,b juniors j
906,3,Racing Club,Liga Profesional,63500000.0,2020/ 2021,racing club,r racing c
907,4,CA San Lorenzo de Almagro,Liga Profesional,64400000.00000001,2020/ 2021,san lorenzo de almagro,s lorenzo a
908,5,CA Talleres,Liga Profesional,34700000.0,2020/ 2021,talleres,t talleres t
909,6,AA Argentinos Juniors,Liga Profesional,27130000.0,2020/ 2021,argentinos juniors,a argentinos j
910,7,CA Vélez Sarsfield,Liga Profesional,61350000.0,2020/ 2021,velez sarsfield,v sarsfield s
912,9,CA Rosario Central,Liga Profesional,15330000.0,2020/ 2021,rosario central,r rosario c
913,10,Club Estudiantes de La Plata,Liga Profesional,23830000.0,2020/ 2021,club estudiantes de la plata,c estudiantes p
914,11,CA Newell's Old Boys,Liga Profesional,20880000.0,2020/ 2021,newells old boys,n newells b
915,12,Defensa y Justicia,Liga Profesional,10530000.0,2020/ 2021,defensa y justicia,d justicia j
916,13,CA Huracán,Liga Profesional,9980000.0,2020/ 2021,huracan,h huracan h
917,14,Club Atlético Lanús,Liga Profesional,40050000.0,2020/ 2021,club atletico lanus,c atletico l
918,15,CA Independiente,Liga Profesional,46700000.0,2020/ 2021,independiente,i independiente i
919,16,CA Banfield,Liga Profesional,24980000.0,2020/ 2021,banfield,b banfield b
920,17,CD Godoy Cruz Antonio Tomba,Liga Profesional,27850000.0,2020/ 2021,godoy cruz antonio tomba,g antonio t
921,18,Club Atlético Tucumán,Liga Profesional,10280000.0,2020/ 2021,club atletico tucuman,c atletico t
922,19,CA Unión (Santa Fe),Liga Profesional,7780000.0,2020/ 2021,union santa fe,u union f
924,21,Club de Gimnasia y Esgrima La Plata,Liga Profesional,9530000.0,2020/ 2021,club de gimnasia y esgrima la plata,c gimnasia p
930,27,CA Central Córdoba (SdE),Liga Profesional,4300000.0,2020/ 2021,central cordoba sde,c central s
932,1,CA River Plate,Liga Profesional,123180000.0,2019/ 2020,river plate,r river p
933,2,CA Boca Juniors,Liga Profesional,133680000.0,2019/ 2020,boca juniors,b juniors j
934,3,Racing Club,Liga Profesional,48900000.0,2019/ 2020,racing club,r racing c
935,4,CA San Lorenzo de Almagro,Liga Profesional,42380000.0,2019/ 2020,san lorenzo de almagro,s lorenzo a
936,5,CA Talleres,Liga Profesional,31380000.0,2019/ 2020,talleres,t talleres t
937,6,AA Argentinos Juniors,Liga Profesional,15300000.0,2019/ 2020,argentinos juniors,a argentinos j
938,7,CA Vélez Sarsfield,Liga Profesional,49250000.0,2019/ 2020,velez sarsfield,v sarsfield s
940,9,CA Rosario Central,Liga Profesional,27450000.0,2019/ 2020,rosario central,r rosario c
941,10,Club Estudiantes de La Plata,Liga Profesional,18950000.0,2019/ 2020,club estudiantes de la plata,c estudiantes p
942,11,CA Newell's Old Boys,Liga Profesional,20850000.0,2019/ 2020,newells old boys,n newells b
943,12,Defensa y Justicia,Liga Profesional,23880000.0,2019/ 2020,defensa y justicia,d justicia j
944,13,CA Huracán,Liga Profesional,20630000.0,2019/ 2020,huracan,h huracan h
945,14,Club Atlético Lanús,Liga Profesional,42950000.0,2019/ 2020,club atletico lanus,c atletico l
